Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_macd_color,Exit_macd_color,Entry_cross,Exit_cross
4676,37,43,2138.34,2123.75,2103.271224,2184.1004760000005,-68222.84000000068,-0.0068230496553401965,1970-01-01 00:29:34.023300,1970-01-01 00:29:34.028700,0 days 00:00:00.005400,,0,0,False,True
-4676,43,44,2123.75,2135.75,2158.5795,2078.30175,-56112.0,-0.005650382577987001,1970-01-01 00:29:34.028700,1970-01-01 00:29:34.029600,0 days 00:00:00.000900,,0,0,True,False
4623,44,46,2135.75,2124.56,2100.7237,2181.45505,-51731.37000000025,-0.005239377267938661,1970-01-01 00:29:34.029600,1970-01-01 00:29:34.031400,0 days 00:00:00.001800,,0,1,False,False
-4623,46,52,2124.56,2132.08,2159.402784,2079.094416,-34764.95999999992,-0.0035395564258011714,1970-01-01 00:29:34.031400,1970-01-01 00:29:34.036800,0 days 00:00:00.005400,,1,0,False,False
4591,52,68,2132.08,2145.02,2097.113888,2177.706512,59407.54000000025,0.006069190649506506,1970-01-01 00:29:34.036800,1970-01-01 00:29:34.051200,0 days 00:00:00.014400,,0,1,False,False
-4591,68,74,2145.02,2152.52,2180.198328,2099.116572,-34432.5,-0.0034964708953761914,1970-01-01 00:29:34.051200,1970-01-01 00:29:34.056600,0 days 00:00:00.005400,,1,1,False,True
4559,74,75,2152.52,2148.41,2117.218672,2198.583928,-18737.49000000058,-0.0019093899243677326,1970-01-01 00:29:34.056600,1970-01-01 00:29:34.057500,0 days 00:00:00.000900,,1,1,True,False
-4559,75,98,2148.41,2158.92,2183.643924,2102.434026,-47915.09000000099,-0.004891989890198012,1970-01-01 00:29:34.057500,1970-01-01 00:29:34.078200,0 days 00:00:00.020700,,1,0,False,False
4514,98,101,2158.92,2155.18,2123.513712,2205.1208880000004,-16882.360000001067,-0.0017323476553092743,1970-01-01 00:29:34.078200,1970-01-01 00:29:34.080900,0 days 00:00:00.002700,,0,1,False,False
-4514,101,108,2155.18,2157.7,2190.5249519999998,2109.059148,-11375.279999999919,-0.0011692758841488349,1970-01-01 00:29:34.080900,1970-01-01 00:29:34.087200,0 days 00:00:00.006300,,1,0,False,False
4504,108,110,2157.7,2153.95,2122.31372,2203.87478,-16890.0,-0.0017379617184964946,1970-01-01 00:29:34.087200,1970-01-01 00:29:34.089000,0 days 00:00:00.001800,,0,1,False,False
-4504,110,117,2153.95,2157.5,2189.2747799999997,2107.85547,-15989.20000000082,-0.0016481348220711567,1970-01-01 00:29:34.089000,1970-01-01 00:29:34.095300,0 days 00:00:00.006300,,1,0,False,False
4489,117,123,2157.5,2154.08,2122.117,2203.6705,-15352.380000000327,-0.0015851680185400285,1970-01-01 00:29:34.095300,1970-01-01 00:29:34.100700,0 days 00:00:00.005400,,0,1,False,False
-4489,123,125,2154.08,2163.97,2189.406912,2107.982688,-44396.20999999943,-0.004591287231672014,1970-01-01 00:29:34.100700,1970-01-01 00:29:34.102500,0 days 00:00:00.001800,,1,0,False,False
4448,125,128,2163.97,2150.9,2128.480892,2210.278958,-58135.359999998705,-0.00603982495136246,1970-01-01 00:29:34.102500,1970-01-01 00:29:34.105200,0 days 00:00:00.002700,,0,1,False,False
-4448,128,142,2150.9,2150.1,2186.17476,2104.8707400000003,3558.400000000809,0.00037193732856022343,1970-01-01 00:29:34.105200,1970-01-01 00:29:34.117800,0 days 00:00:00.012600,,1,0,False,False
4451,142,158,2150.1,2149.53,2114.83836,2196.11214,-2537.0699999987046,-0.00026510394865342235,1970-01-01 00:29:34.117800,1970-01-01 00:29:34.132200,0 days 00:00:00.014400,,0,1,False,False
-4451,158,163,2149.53,2103.5300580000003,2184.7822920000003,2103.5300580000003,204745.74184199964,0.021399999999999975,1970-01-01 00:29:34.132200,1970-01-01 00:29:34.136700,0 days 00:00:00.004500,,1,1,False,False
4643,174,193,2104.88,2108.07,2070.359968,2149.9244320000003,14811.170000000253,0.001515525825700248,1970-01-01 00:29:34.146600,1970-01-01 00:29:34.163700,0 days 00:00:00.017100,,0,1,False,False
-4643,193,209,2108.07,2080.83,2142.6423480000003,2062.9573020000003,126475.3200000011,0.012921772047417845,1970-01-01 00:29:34.163700,1970-01-01 00:29:34.178100,0 days 00:00:00.014400,,1,0,False,False
4765,209,211,2080.83,2074.33,2046.7043879999999,2125.359762,-30972.5,-0.003123753502208282,1970-01-01 00:29:34.178100,1970-01-01 00:29:34.179900,0 days 00:00:00.001800,,0,1,False,False
-4765,211,214,2074.33,2083.78,2108.3490119999997,2029.939338,-45029.2500000013,-0.004555687860658741,1970-01-01 00:29:34.179900,1970-01-01 00:29:34.182600,0 days 00:00:00.002700,,1,0,False,False
4721,214,239,2083.78,2064.11,2049.606008,2128.3728920000003,-92862.07000000034,-0.009439576154872453,1970-01-01 00:29:34.182600,1970-01-01 00:29:34.205100,0 days 00:00:00.022500,,0,1,False,False
-4721,239,255,2064.11,2053.73,2097.961404,2019.9380460000002,49003.98000000051,0.005028801759596191,1970-01-01 00:29:34.205100,1970-01-01 00:29:34.219500,0 days 00:00:00.014400,,1,0,False,False
4769,255,264,2053.73,2042.38,2020.0488280000002,2097.679822,-54128.149999999565,-0.005526529777526656,1970-01-01 00:29:34.219500,1970-01-01 00:29:34.227600,0 days 00:00:00.008100,,0,1,False,False
-4769,264,266,2042.38,2058.47,2075.875032,1998.673068,-76733.20999999852,-0.007878063827495119,1970-01-01 00:29:34.227600,1970-01-01 00:29:34.229400,0 days 00:00:00.001800,,1,0,False,False
4695,266,287,2058.47,2032.38,2024.7110919999998,2102.5212579999998,-122492.54999999855,-0.012674462100491946,1970-01-01 00:29:34.229400,1970-01-01 00:29:34.248300,0 days 00:00:00.018900,,0,1,False,False
-4695,287,294,2032.38,2052.15,2065.711032,1988.8870680000002,-92820.14999999992,-0.00972751158740004,1970-01-01 00:29:34.248300,1970-01-01 00:29:34.254600,0 days 00:00:00.006300,,1,0,False,False
4604,294,299,2052.15,2037.29,2018.49474,2096.0660100000005,-68415.44000000058,-0.007241186073142836,1970-01-01 00:29:34.254600,1970-01-01 00:29:34.259100,0 days 00:00:00.004500,,0,1,False,False
-4604,299,301,2037.29,2049.03,2070.701556,1993.691994,-54050.96000000109,-0.0057625571224519945,1970-01-01 00:29:34.259100,1970-01-01 00:29:34.260900,0 days 00:00:00.001800,,1,0,False,False
4551,301,304,2049.03,2092.8792420000004,2015.4259080000002,2092.8792420000004,199557.90034200106,0.021400000000000086,1970-01-01 00:29:34.260900,1970-01-01 00:29:34.263600,0 days 00:00:00.002700,,0,0,False,False
-4403,322,325,2163.4,2117.1032400000004,2198.87976,2117.1032400000004,203844.63427999878,0.021399999999999864,1970-01-01 00:29:34.279800,1970-01-01 00:29:34.282500,0 days 00:00:00.002700,,1,1,False,False
4488,336,342,2167.74,2159.22,2132.1890639999997,2214.129636,-38237.75999999992,-0.003930360652107723,1970-01-01 00:29:34.292400,1970-01-01 00:29:34.297800,0 days 00:00:00.005400,,0,1,False,False
-4488,342,371,2159.22,2137.88,2194.631208,2113.012692,95773.91999999862,0.009883198562443685,1970-01-01 00:29:34.297800,1970-01-01 00:29:34.323900,0 days 00:00:00.026100,,1,0,False,False
4578,371,377,2137.88,2129.06,2102.818768,2183.6306320000003,-40377.96000000075,-0.004125582352611068,1970-01-01 00:29:34.323900,1970-01-01 00:29:34.329300,0 days 00:00:00.005400,,0,1,False,False
